id;buyer_id;deal_id;action_type;rejection_categories;rejection_reason;rejection_notes;deal_context;created_at;created_by
929ac49e-2c0a-46ca-a406-3bae651d168c;335462c7-dd2f-4653-af5f-82466453dad9;74cbd4bb-d32f-47c8-b4e8-d9f8812384af;not_a_fit;"[""size_too_small""]";Deal size below their typical minimum;;"{""deal_name"":""Auto Body Brothers"",""ebitda_amount"":0.6,""geography"":[""MO""],""headquarters"":""Union, MIssouri "",""location_count"":1,""revenue"":2,""service_mix"":""comprehensive collision repair services, towing and damage evaluation to final delivery, complete vehicle detail, DRPs (Direct Repair Programs)""}";2026-01-03 02:07:40.669093+00;
3066cf43-291c-4d37-987b-b267bdf6dafa;58ccde74-956d-4494-8eb6-2ef043486fff;74cbd4bb-d32f-47c8-b4e8-d9f8812384af;not_a_fit;"[""size_too_small""]";Deal size below their typical minimum;;"{""deal_name"":""Auto Body Brothers"",""ebitda_amount"":0.6,""geography"":[""MO""],""headquarters"":""Union, MIssouri "",""location_count"":1,""revenue"":2,""service_mix"":""comprehensive collision repair services, towing and damage evaluation to final delivery, complete vehicle detail, DRPs (Direct Repair Programs)""}";2026-01-03 02:07:59.960506+00;
c7f30790-25c2-4377-bcad-2be5eea3dfb0;97fa000e-f03f-44b4-bed8-5fae30285b6f;919a987d-a16b-4a43-9828-d8ac115bc1a1;not_a_fit;"[""size_too_small""]";Deal size below their typical minimum;;"{""deal_name"":""Threefold Collision"",""ebitda_amount"":0.94,""geography"":[""OK""],""headquarters"":""Oklahoma"",""location_count"":6,""revenue"":9.36,""service_mix"":""Collision repair services, automotive accessories, and damage control with partnerships involving major insurance companies such as Progressive and State Farm.""}";2026-01-09 14:29:42.011445+00;
45b66101-6186-48d2-9918-99cc068110e5;335462c7-dd2f-4653-af5f-82466453dad9;919a987d-a16b-4a43-9828-d8ac115bc1a1;not_a_fit;"[""size_too_small""]";Deal size below their typical minimum;;"{""deal_name"":""Threefold Collision"",""ebitda_amount"":0.94,""geography"":[""OK""],""headquarters"":""Oklahoma"",""location_count"":6,""revenue"":9.36,""service_mix"":""Collision repair services, automotive accessories, and damage control with partnerships involving major insurance companies such as Progressive and State Farm.""}";2026-01-09 14:29:50.578413+00;
