id;deal_id;geography_weight_mult;size_weight_mult;services_weight_mult;approved_count;rejected_count;passed_geography;passed_size;passed_services;last_calculated_at;created_at;updated_at;custom_instructions;parsed_instructions
9055913d-b0d9-414a-af11-2184def0890e;74cbd4bb-d32f-47c8-b4e8-d9f8812384af;1;1;1;0;7;0;0;0;2026-01-03 02:08:01.241+00;2026-01-03 01:58:13.315084+00;2026-01-03 02:08:01.323079+00;;
124ea81e-b58a-41dc-84e5-5c0518871721;919a987d-a16b-4a43-9828-d8ac115bc1a1;0.9;1;1;2;2;0;0;0;2026-01-13 17:53:45.027+00;2026-01-09 14:29:43.34525+00;2026-01-13 17:53:45.101827+00;;
